address,num_transactions,%total_transactions
0xebfead9c6d6be70431cb22bc9628c9330ca41bb6,4,0.05
0x97ed5a5059f5a89e958260f66dda2f0b5b71509d,4,0.05
0xb721000bb4628774ccc1203f60880dec19d9cb62,4,0.05
0xab4ee99e1d78f61743ba930730ce3c176b45be0b,4,0.05
0x5264f5112ba20ca4bb7668a198e6169697c86f4b,4,0.05
0x6add4ac53627f99b791d453f75dc40965bfb88a6,4,0.05
0x5600844fd435e4a42b1a50a0021ab1b01f8738a7,4,0.05
0x76a1cc126b5f4a62c6aa2a04adf1de012db894aa,4,0.05
0xd57b086df589055e8d11a5fe5460dc358f128f2c,4,0.05
0x56a3e8f0a4be23300c1a102fb3cc7d40c1312cf7,4,0.05
0xb8949b89dbdc5cc794412760509ae9faf0aff441,4,0.05
0xbe764c521002c824d2cc843664f6964e32d1e7d2,4,0.05
0x6e3ce7366cd6587c71f1d3192cb8e59012ac34e2,4,0.05
0x0e42d32dcc5b83a9bc74523af3b8c3a3b4cf107f,4,0.05
0xe39cb745e8db0da1be665adb2eab58f4fd600927,4,0.05
0xa35346d6acd7c8308ec2ba6d1f79e40e95673d1c,4,0.05
0x446d260c3418052aac6ffe19ededb52eb44df4d2,4,0.05
0x1b616174ecd810577effcc14f2de7e79c5ddfbd1,4,0.05
0x90534e0586f4951094e2c3249b401a772e6b0822,4,0.05
0xe6ea3c0641e269e3440a41b413db9ecc58c67f05,4,0.05
0xb2938bd4c7854c0709c2fefefe1284fb24133d19,4,0.05
0x3d3d950ce0ade1d7f6db5fce6be1f76f1816acbe,4,0.05
0xb43800a6edb0205fe261d9d63cd8439f65cfe68b,4,0.05
0xd7b469d9cea97600906ed059afc136ef6c68d7ed,4,0.05
0xe47f02e5da6820c7f257c6dff842796491a8630a,4,0.05
0xf8407b9a7e7c0877dd22805cf03002dfb6a82b46,4,0.05
0x6f69f79cea418024b9e0acfd18bd8de26f9bbe39,4,0.05
0x1bde03e8eec44bd276f7e60663d6fe8ef10430a4,4,0.05
0x52afb8e6cc6570f1a29697de951ec5b3bf7f631b,4,0.05
0xa1c299326473983c303eebb76e0cb062857cd9cb,4,0.05
0x196e919f74baeafca10c313043848c39a8f5effd,4,0.05
0xe1903c43cb6d757aa0ab9db3373813f8412b1e73,4,0.05
0x81eed494824acd3ddf8eaf9deebf1741f68ba912,4,0.05
0xd9b393ca80129e6c599058a1a3f8c3ced8f2d710,4,0.05
0x31a4deeec32caee36d4ea600166efa49bf4ad26c,4,0.05
0x3c3b7b28c0728775c5c9eff3482135e8df1495a1,4,0.05
0xa727a09628419d13a1d9bd1ec8ab02da97b81181,4,0.05
0x36090cff79dd01940c710ac3bf962d9c498c664f,4,0.05
0x27faeac26bd7749869bd99ff2fd462c61a62fd2a,4,0.05
0x30109b7e93ff0474f406b98ebe3463af57702ff4,4,0.05
0x0c33d73fc67e97625445f1aab971d9c1701a0bdc,4,0.05
0xa3c3a552cb207666a7e78d7c18ee807710281148,4,0.05
0x9612e7c2695dddc9fcd77f156585db16c89ea26f,4,0.05
0x31d5cc1166e409549bde02ee17a8a03b07d24c7a,4,0.05
0xba5b0fe13ab1c94439aa57bf9f65230735a10985,4,0.05
0x1c5e668a08b28a4885b180f2af0123db27e933d2,4,0.05
